NO,food,ENERC_KCAL,PROT-,FAT-,CHOAVLDF-,K,CA,MG,P,FE,ZN,CU,VITA_RAE,VITD,TOCPHA,VITK ,THIA,RIBF,NE,VITB6A,VITB12,FOL,PANTAC,VITC,FIB-,NACL_EQ
624,たかな　葉　生,21,1.8,0.2,2,300,87,16,35,1.7,0.3,0.04,190,0,0.8,120,0.06,0.1,0.9,0.16,0,180,0.27,69,2.5,0.1
625,たかな　たかな漬,30,1.9,0.6,2.1,110,51,13,24,1.5,0.2,0.06,200,0,1.6,300,0.01,0.03,0.8,0.03,0.1,23,0.08,0,4,4
626,たけのこ　若茎　生,27,3.6,0.2,2.5,520,16,13,62,0.4,1.3,0.13,1,0,0.7,2,0.05,0.11,1.2,0.13,0,63,0.63,10,2.8,0
627,たけのこ　若茎　ゆで,31,3.5,0.2,3.2,470,17,11,60,0.4,1.2,0.13,1,0,1,2,0.04,0.09,1.1,0.06,0,63,0.63,8,3.3,0
628,たけのこ　水煮缶詰,22,2.7,0.2,2.6,77,19,4,38,0.3,0.4,0.04,0,0,1,1,0.01,0.04,0.5,0.02,0,36,0.1,0,2.3,0
629,たけのこ　めんま　塩蔵　塩抜き,15,1,0.5,0.6,6,18,3,11,0.2,0,0.02,0,0,0,0,0,0,0.1,0,0,1,0,0,3.5,0.9
630,（たまねぎ類）　たまねぎ　りん茎　生,33,1,0.1,7.1,150,17,9,31,0.3,0.2,0.05,0,0,0,0,0.04,0.01,0.3,0.14,0,15,0.17,7,1.5,0
631,（たまねぎ類）　たまねぎ　りん茎　水さらし,24,0.6,0.1,4.9,88,18,7,20,0.2,0.1,0.04,0,0,0,0,0.03,0.01,0.2,0.09,0,11,0.14,5,1.5,0
632,（たまねぎ類）　たまねぎ　りん茎　ゆで,30,0.8,0.1,5.9,110,18,7,25,0.2,0.1,0.05,0,0,0,0,0.03,0.01,0.2,0.11,0,11,0.15,5,1.7,0
633,（たまねぎ類）　たまねぎ　りん茎　油いため,100,1.4,5.9,10.1,210,24,11,47,0.2,0.3,0.08,0,0,0.9,7,0.04,0.02,0.4,0.22,0,21,0.29,9,2.7,0
634,（たまねぎ類）　たまねぎ　りん茎　油いため　（あめ色たまねぎ）,208,3.2,6.8,35.5,490,47,28,98,0.9,0.5,0.13,0,0,4.5,0,0.12,0.03,1,0.45,0,33,0.62,0,0,0
635,（たまねぎ類）　赤たまねぎ　りん茎　生,34,0.9,0.1,7.4,150,19,9,34,0.3,0.2,0.04,0,0,0.1,0,0.03,0.02,0.3,0.13,0,23,0.15,7,1.7,0
636,（たまねぎ類）　葉たまねぎ　りん茎及び葉　生,33,1.8,0.4,5.2,290,67,14,45,0.6,0.3,0.03,120,0,1.1,92,0.06,0.11,0.9,0.16,0,120,0.13,32,3,0
637,たらのめ　若芽　生,27,4.2,0.2,0.1,460,16,33,120,0.9,0.8,0.35,48,0,2.4,99,0.15,0.2,3.2,0.22,0,160,0.53,7,4.2,0
638,たらのめ　若芽　ゆで,27,4,0.2,0.5,260,19,28,92,0.9,0.7,0.3,50,0,2,97,0.07,0.11,2,0.11,0,83,0.23,3,3.6,0
639,チコリ　若芽　生,17,1,0,3,170,24,9,25,0.2,0.2,0.05,1,0,0.2,8,0.06,0.02,0.4,0.03,0,41,0.14,2,1.1,0
640,ちぢみゆきな　葉　生,35,3.6,0.6,2.2,570,180,30,88,3,0.9,0.09,350,0,0,390,0.09,0.21,2.9,0,0,180,0.29,69,3.9,0
641,ちぢみゆきな　葉　ゆで,34,3.8,0.7,1.4,320,130,21,82,1.4,0.7,0.09,500,0,0,500,0.06,0.12,2.1,0,0,120,0.27,39,4.3,0
642,チンゲンサイ　葉　生,9,0.6,0.1,0.7,260,100,16,27,1.1,0.3,0.07,170,0,0.7,84,0.03,0.07,0.6,0.08,0,66,0.17,24,1.2,0.1
643,チンゲンサイ　葉　ゆで,11,0.9,0.1,0.7,250,120,17,27,0.7,0.2,0.06,220,0,0.9,120,0.03,0.05,0.7,0.04,0,53,0.12,15,1.5,0.1
644,チンゲンサイ　葉　油いため,36,0.8,3.2,0.7,230,92,16,27,0.9,0.3,0.07,250,0,1.4,110,0.03,0.06,0.6,0.05,0,62,0.12,21,1.4,0.1
645,つくし　胞子茎　生,31,3.5,0.1,0,640,50,33,94,2.1,1.1,0.22,88,0,4.9,19,0.07,0.14,2.8,0.35,0,110,0.9,33,8.1,0
646,つくし　胞子茎　ゆで,28,3.4,0.1,0,340,58,26,82,1.1,1,0.16,96,0,3.6,17,0,0.1,1.7,0.21,0,74,0.48,15,6.7,0
647,つるな　茎葉　生,15,1.8,0.1,0.5,300,48,35,75,3,0.5,0.06,230,0,1.3,310,0.08,0.3,1.3,0.13,0,90,0.46,22,2.3,0
648,つるにんじん　根　生,55,1,0.7,2.7,190,61,33,75,5.9,0.5,0.11,1,0,3.6,0,0.06,0.05,0.6,0.41,0,16,0.28,6,17.1,0
